Event	ID	Name			Wwise Object Path	Notes
	1305133589	player_jump			\Default Work Unit\Player\player_jump	
	1965075432	trapdoor			\Default Work Unit\Sound Effects\trapdoor	
	2453392179	player_footstep			\Default Work Unit\Player\player_footstep	
	3629196698	player_land			\Default Work Unit\Player\player_land	

Switch Group	ID	Name			Wwise Object Path	Notes
	1730208058	player_footsteps			\Default Work Unit\player_footsteps	

Switch	ID	Name	Switch Group			Notes
	1216965916	stone	player_footsteps			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	15771543	footstep_boot-009	C:\Users\Nole\Documents\Master\Game of History\Crkva\Crkva_WwiseProject\.cache\Windows\SFX\footstep_boot-009_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\Boot\footstep_boot-009		48064
	18179629	plate_b-002	C:\Users\Nole\Documents\Master\Game of History\Crkva\Crkva_WwiseProject\.cache\Windows\SFX\plate_b-002_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Plate B\plate_b-002		72064
	38540446	leather_b-002	C:\Users\Nole\Documents\Master\Game of History\Crkva\Crkva_WwiseProject\.cache\Windows\SFX\leather_b-002_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Leather B\leather_b-002		96064
	46693584	mail_b-005	C:\Users\Nole\Documents\Master\Game of History\Crkva\Crkva_WwiseProject\.cache\Windows\SFX\mail_b-005_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Mail B\mail_b-005		60064
	52619859	mail_b-008	C:\Users\Nole\Documents\Master\Game of History\Crkva\Crkva_WwiseProject\.cache\Windows\SFX\mail_b-008_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Mail B\mail_b-008		60064
	65576686	footstep_boot-001	C:\Users\Nole\Documents\Master\Game of History\Crkva\Crkva_WwiseProject\.cache\Windows\SFX\footstep_boot-001_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\Boot\footstep_boot-001		48064
	92557025	leather-008	C:\Users\Nole\Documents\Master\Game of History\Crkva\Crkva_WwiseProject\.cache\Windows\SFX\leather-008_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Leather A\leather-008		60064
	97708710	trinket-005	C:\Users\Nole\Documents\Master\Game of History\Crkva\Crkva_WwiseProject\.cache\Windows\SFX\trinket-005_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Trinkets\trinket-005		84064
	108769880	trapdoor	C:\Users\Nole\Documents\Master\Game of History\Crkva\Crkva_WwiseProject\.cache\Windows\SFX\trapdoor_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx\trapdoor		960064
	113488067	mail_b-001	C:\Users\Nole\Documents\Master\Game of History\Crkva\Crkva_WwiseProject\.cache\Windows\SFX\mail_b-001_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Mail B\mail_b-001		60064
